time,odom_x,odom_y,fused_x,fused_y,lidar_avg
1763896910899,0.890195,-0.474459,0.888741,-0.474515,
1763896910938,0.897311,-0.474188,0.895352,-0.474262,
1763896910979,0.904612,-0.473909,0.902462,-0.473991,
1763896911018,0.912084,-0.473624,0.909866,-0.473708,
1763896911057,0.919568,-0.473338,0.917389,-0.473421,
1763896911091,0.927541,-0.473034,0.925264,-0.473121,
1763896911126,0.935691,-0.472723,0.933382,-0.472811,
1763896911165,0.944011,-0.472405,0.941698,-0.472494,
1763896911204,0.9525,-0.472081,0.950194,-0.472169,
1763896911256,0.961159,-0.471751,0.958864,-0.471838,
1763896911290,0.969988,-0.471414,0.967704,-0.471501,
1763896911331,0.978823,-0.471076,0.976609,-0.471161,
1763896911366,0.987657,-0.470739,0.985536,-0.47082,
1763896911410,0.996493,-0.470402,0.994469,-0.470479,
1763896911464,1.00533,-0.470065,1.0034,-0.470139,
1763896911492,1.01416,-0.469728,1.01233,-0.469798,
1763896911547,1.023,-0.469391,1.02125,-0.469457,
1763896911577,1.03183,-0.469053,1.03017,-0.469117,
1763896911611,1.04067,-0.468716,1.03909,-0.468776,
1763896911642,1.0495,-0.468379,1.048,-0.468436,
1763896911693,1.05834,-0.468042,1.05691,-0.468096,
1763896911729,1.06717,-0.467704,1.06581,-0.467756,
1763896911753,1.07601,-0.467367,1.07471,-0.467417,
1763896911804,1.08484,-0.46703,1.08361,-0.467077,
1763896911856,1.09368,-0.466692,1.09251,-0.466737,
1763896911892,1.10251,-0.466355,1.1014,-0.466398,
1763896911926,1.11135,-0.466018,1.11029,-0.466058,
1763896911971,1.12018,-0.465681,1.11917,-0.465719,
1763896912017,1.12901,-0.465343,1.12806,-0.46538,
1763896912065,1.13785,-0.465006,1.13694,-0.465041,
1763896912108,1.14668,-0.464669,1.14582,-0.464702,
1763896912150,1.15552,-0.464331,1.1547,-0.464363,
1763896912186,1.16435,-0.463994,1.16357,-0.464024,
1763896912228,1.17319,-0.463657,1.17244,-0.463685,
1763896912278,1.18202,-0.463319,1.18131,-0.463346,
1763896912314,1.19086,-0.462982,1.19018,-0.463008,
1763896912355,1.19969,-0.462645,1.19905,-0.462669,
1763896912391,1.20853,-0.462307,1.20792,-0.462331,
1763896912426,1.21736,-0.46197,1.21678,-0.461992,
1763896912467,1.2262,-0.461632,1.22565,-0.461654,
1763896912511,1.23503,-0.461295,1.23451,-0.461315,
1763896912551,1.24387,-0.460958,1.24337,-0.460977,
1763896912584,1.2527,-0.46062,1.25223,-0.460638,
1763896912642,1.26154,-0.460283,1.26108,-0.4603,
1763896912683,1.27037,-0.459945,1.26994,-0.459962,
1763896912712,1.27921,-0.459608,1.2788,-0.459624,
1763896912759,1.28804,-0.45927,1.28765,-0.459285,
1763896912795,1.29687,-0.458933,1.29651,-0.458947,
1763896912837,1.30571,-0.458595,1.30536,-0.458609,
1763896912881,1.31454,-0.458258,1.31421,-0.458271,
1763896912916,1.32338,-0.457921,1.32306,-0.457933,
1763896912960,1.33221,-0.457583,1.33191,-0.457595,
1763896912993,1.34105,-0.457246,1.34076,-0.457257,
1763896913026,1.34988,-0.456908,1.34961,-0.456919,
1763896913080,1.35872,-0.456571,1.35846,-0.456581,
1763896913116,1.36755,-0.456233,1.36731,-0.456243,
1763896913154,1.37639,-0.455896,1.37615,-0.455905,
1763896913201,1.38522,-0.455558,1.385,-0.455567,
1763896913244,1.39406,-0.455221,1.39384,-0.455229,
1763896913281,1.40289,-0.454883,1.40269,-0.454891,
1763896913317,1.41173,-0.454545,1.41153,-0.454553,
1763896913352,1.42056,-0.454208,1.42038,-0.454215,
1763896913396,1.4294,-0.45387,1.42922,-0.453877,
1763896913431,1.43823,-0.453533,1.43807,-0.453539,
1763896913474,1.44707,-0.453195,1.44691,-0.453201,
1763896913510,1.4559,-0.452858,1.45575,-0.452864,
1763896913563,1.46474,-0.45252,1.46459,-0.452526,
1763896913602,1.47357,-0.452183,1.47343,-0.452188,
1763896913636,1.4824,-0.451845,1.48228,-0.45185,
1763896913686,1.49124,-0.451507,1.49112,-0.451512,
1763896913719,1.50007,-0.45117,1.49996,-0.451174,
1763896913755,1.50891,-0.450832,1.5088,-0.450836,
1763896913792,1.51774,-0.450495,1.51764,-0.450499,
1763896913827,1.52658,-0.450157,1.52648,-0.450161,
1763896913867,1.53541,-0.449819,1.53532,-0.449823,
1763896913910,1.54425,-0.44948,1.54416,-0.449484,
1763896913967,1.55308,-0.449133,1.55299,-0.44914,
1763896914006,1.56191,-0.448773,1.56183,-0.448785,
1763896914047,1.57074,-0.448391,1.57066,-0.448413,
1763896914079,1.57956,-0.447983,1.57949,-0.448018,
1763896914123,1.58839,-0.447547,1.58832,-0.447595,
1763896914167,1.59721,-0.447082,1.59715,-0.447144,
1763896914191,1.60603,-0.446587,1.60597,-0.446663,
1763896914220,1.61485,-0.446063,1.6148,-0.446153,
1763896914249,1.62367,-0.445509,1.62362,-0.445612,
1763896914279,1.63248,-0.444925,1.63244,-0.44504,
1763896914314,1.64129,-0.444311,1.64125,-0.444439,
1763896914351,1.65011,-0.443668,1.65007,-0.443807,
1763896914392,1.65891,-0.442994,1.65888,-0.443144,
1763896914435,1.6669,-0.442351,1.66716,-0.442489,
1763896914472,1.67546,-0.441628,1.67562,-0.441787,
1763896914517,1.68425,-0.440841,1.68428,-0.441025,
1763896914568,1.69303,-0.439975,1.69301,-0.440192,
1763896914604,1.70178,-0.439,1.70176,-0.439262,
1763896914645,1.71052,-0.437899,1.71051,-0.438215,
1763896914683,1.71924,-0.43664,1.71923,-0.437024,
1763896914727,1.72792,-0.435208,1.72793,-0.435668,
1763896914775,1.73658,-0.433589,1.7366,-0.434131,
1763896914809,1.74518,-0.43177,1.74523,-0.432398,
1763896914856,1.75375,-0.429735,1.75382,-0.430453,
1763896914896,1.76224,-0.427467,1.76234,-0.428282,
1763896914931,1.77066,-0.424946,1.7708,-0.425863,
1763896914980,1.77899,-0.422158,1.77917,-0.423182,
1763896915023,1.78618,-0.419482,1.78678,-0.420473,
1763896915063,1.7922,-0.416997,1.79337,-0.417877,
1763896915100,1.79708,-0.414778,1.79883,-0.415494,
1763896915133,1.80122,-0.412718,1.8034,-0.413295,
1763896915178,1.80488,-0.410742,1.80733,-0.411221,
1763896915216,1.80809,-0.408881,1.81072,-0.409268,
1763896915244,1.81082,-0.407199,1.81361,-0.407476,
1763896915279,1.81306,-0.405755,1.816,-0.405897,
1763896915319,1.81479,-0.404588,1.81789,-0.404575,
1763896915364,1.81603,-0.403724,1.81927,-0.403546,
1763896915413,1.8168,-0.403179,1.82016,-0.40283,
1763896915439,1.8171,-0.402963,1.82058,-0.402442,
1763896915483,1.81711,-0.402956,1.82063,-0.402312,
1763896915511,1.81712,-0.402953,1.82055,-0.402283,
1763896915547,1.81712,-0.402952,1.82041,-0.402292,
1763896915587,1.81712,-0.402951,1.82027,-0.402314,
1763896915631,1.81712,-0.40295,1.82012,-0.402341,
1763896915670,1.81712,-0.402949,1.81997,-0.402369,
1763896915716,1.81712,-0.402949,1.81984,-0.402396,
1763896915758,1.81712,-0.402948,1.81971,-0.402422,
1763896915787,1.81712,-0.402947,1.81958,-0.402447,
1763896915829,1.81712,-0.402946,1.81946,-0.40247,
1763896915862,1.81713,-0.402945,1.81935,-0.402493,
1763896915902,1.81713,-0.402944,1.81924,-0.402514,
1763896915950,1.81713,-0.402944,1.81914,-0.402534,
1763896915987,1.81713,-0.402943,1.81904,-0.402553,
1763896916029,1.81713,-0.402942,1.81895,-0.402571,
1763896916060,1.81713,-0.402942,1.81886,-0.402589,
