x,y,z,yaw
16.9,9.8,0.5,-90.00
16.9,8.8,0.5,-90.00
16.9,7.8,0.5,-90.00
16.9,6.8,0.5,-90.00
16.9,5.8,0.5,-90.00
16.9,4.8,0.5,-90.00
16.9,3.8,0.5,-90.00
16.9,2.8,0.5,-90.00
16.9,1.8,0.5,-90.00
16.9,0.8,0.5,-90.00
16.9,-8.2,0.5,-90.00
16.9,-9.2,0.5,-90.00
16.9,-10.2,0.5,-90.00
16.9,-11.2,0.5,-90.00
16.9,-12.2,0.5,-90.00
16.9,-13.2,0.5,-90.00
16.9,-14.2,0.5,-90.00
16.9,-15.2,0.5,-90.00
16.9,-16.2,0.5,-90.00
16.9,-17.2,0.5,-90.00
16.9,-18.2,0.5,-90.00
16.9,-19.2,0.5,-90.00
16.9,-20.2,0.5,-90.00
16.9,-21.2,0.5,-90.00
16.9,-22.2,0.5,-90.00
16.9,-23.2,0.5,-90.00
16.9,-24.2,0.5,-90.00
16.9,-25.2,0.5,-90.00
16.9,-26.2,0.5,-90.00
16.9,-27.2,0.5,-90.00
16.9,-28.2,0.5,-90.00
16.9,-29.2,0.5,-90.00
20.6,-29.8,0.5,-7.61
20.6,-28.8,0.5,90.00
20.6,-27.8,0.5,90.00
20.6,-26.8,0.5,90.00
20.6,-25.8,0.5,90.00
20.6,-24.8,0.5,90.00
20.6,-23.8,0.5,90.00
20.6,-22.8,0.5,90.00
20.6,-21.8,0.5,90.00
20.6,-20.8,0.5,90.00
20.6,-19.8,0.5,90.00
20.6,-18.8,0.5,90.00
20.6,-17.8,0.5,90.00
20.6,-16.8,0.5,90.00
20.6,-15.8,0.5,90.00
20.6,-14.8,0.5,90.00
20.6,-13.8,0.5,90.00
20.6,-12.8,0.5,90.00
20.6,-11.8,0.5,90.00
20.6,-10.8,0.5,90.00
20.6,-9.8,0.5,90.00
20.6,-8.8,0.5,90.00
20.6,-7.8,0.5,90.00
20.6,0.2,0.5,90.00
20.6,1.2,0.5,90.00
20.6,2.2,0.5,90.00
20.6,3.2,0.5,90.00
20.6,4.2,0.5,90.00
20.6,5.2,0.5,90.00
20.6,6.2,0.5,90.00
20.6,7.2,0.5,90.00
20.6,8.2,0.5,90.00
20.6,9.2,0.5,90.00
20.6,10.2,0.5,90.00
20.6,11.2,0.5,90.00
20.6,12.2,0.5,90.00
20.6,13.2,0.5,90.00
20.6,14.2,0.5,90.00
20.6,15.2,0.5,90.00
20.6,16.2,0.5,90.00
20.6,17.2,0.5,90.00
20.6,18.2,0.5,90.00
20.6,19.2,0.5,90.00
20.6,20.2,0.5,90.00
20.6,21.2,0.5,90.00
20.6,22.2,0.5,90.00
20.6,30.2,0.5,90.00
20.6,31.2,0.5,90.00
20.6,32.2,0.5,90.00
20.6,33.2,0.5,90.00
20.6,34.2,0.5,90.00
20.6,35.2,0.5,90.00
20.6,36.2,0.5,90.00
20.6,37.2,0.5,90.00
20.6,38.2,0.5,90.00
20.6,39.2,0.5,90.00
20.6,40.2,0.5,90.00
20.6,41.2,0.5,90.00
20.6,42.2,0.5,90.00
20.6,43.2,0.5,90.00
20.6,44.2,0.5,90.00
39.4,44.8,0.5,1.53
39.4,43.8,0.5,-90.00
39.4,42.8,0.5,-90.00
39.4,41.8,0.5,-90.00
39.4,40.8,0.5,-90.00
39.4,39.8,0.5,-90.00
39.4,38.8,0.5,-90.00
39.4,37.8,0.5,-90.00
39.4,36.8,0.5,-90.00
39.4,35.8,0.5,-90.00
39.4,34.8,0.5,-90.00
39.4,33.8,0.5,-90.00
39.4,32.8,0.5,-90.00
39.4,31.8,0.5,-90.00
39.4,30.8,0.5,-90.00
